state,totals,totals_to_1990,totals_to_1995,totals_to_2000,totals_to_2005,totals_to_2010,totals_since_2010
ALABAMA,1115,224,242,228,205,154,62
ALASKA,446,127,88,46,139,24,22
ARIZONA,1307,241,226,189,319,263,69
ARKANSAS,722,147,131,135,136,116,57
CALIFORNIA,38477,256,6947,7300,9315,10000,4659
COLORADO,848,206,157,149,189,128,19
CONNECTICUT,1065,104,120,200,291,257,93
DELAWARE,125,27,22,27,25,21,3
DISTRICT OF COLUMBIA,33,0,6,27,0,0,0
FLORIDA,3225,652,496,641,675,591,170
GEORGIA,1828,458,343,328,317,288,94
HAWAII,395,147,112,33,37,46,20
IDAHO,417,83,97,90,55,72,20
ILLINOIS,2553,549,411,462,518,460,153
INDIANA,1724,575,354,190,218,269,118
IOWA,1779,415,242,191,377,361,193
KANSAS,1396,127,111,124,117,130,65
KENTUCKY,1029,310,244,45,170,192,68
LOUISIANA,1257,297,214,232,224,204,86
MAINE,274,96,56,44,41,28,9
MARYLAND,3908,1276,615,598,666,648,105
MASSACHUSETTS,1491,200,161,255,495,282,98
MICHIGAN,1485,21,302,413,466,189,94
MINNESOTA,885,375,110,97,115,120,68
MISSISSIPPI,690,136,137,141,127,115,34
MISSOURI,879,167,145,207,172,152,36
MONTANA,273,72,59,50,45,38,9
NEBRASKA,615,86,74,118,156,127,54
NEVADA,1042,185,155,121,234,252,95
NEW HAMPSHIRE,386,41,45,57,106,123,14
NEW JERSEY,1754,289,287,375,431,280,92
NEW MEXICO,350,89,59,59,50,55,38
NEW YORK,2928,543,517,514,558,603,193
NORTH CAROLINA,2833,649,417,340,433,688,306
NORTH DAKOTA,421,74,86,99,75,69,18
OHIO,2630,550,433,427,517,580,123
OKLAHOMA,768,168,139,115,144,138,64
OREGON,4052,286,637,838,935,871,485
PENNSYLVANIA,1961,380,401,345,336,328,171
RHODE ISLAND,156,42,30,22,29,27,6
SOUTH CAROLINA,1591,396,307,341,270,169,108
SOUTH DAKOTA,0,0,0,0,0,0,0
TENNESSEE,1268,314,169,218,245,214,108
TEXAS,4728,944,741,878,918,906,341
UTAH,1580,463,245,378,355,99,40
VERMONT,159,21,11,62,33,24,8
VIRGINIA,2402,519,430,287,283,321,122
WASHINGTON,2173,13,734,526,437,332,131
WEST VIRGINIA,440,84,75,90,61,97,33
WISCONSIN,1167,227,225,175,235,232,73
WYOMING,276,70,66,37,36,50,17
