SIC,Fatality
2621,X
783,X
3312,
4911,X
4911,X
3496,X
4911,X
2092,X
913,X
7389,X
1629,X
3731,X
7999,X
1629,
1629,
7999,X
8711,X
4491,X
913,X
2421,X
2421,X
1799,
1791,X
2435,
1622,X
2411,X
2034,
5191,X
1629,X
1541,
1791,
9711,X
2411,X
3443,
5031,X
1542,
1742,X
3444,
1542,X
2439,X
851,X
5083,X
252,
1623,X
2411,X
2435,X
4212,X
851,X
2411,X
1731,X
161,X
723,X
4221,X
1799,X
2063,X
1794,X
2013,
2034,X
4221,
1629,X
139,X
241,
5171,X
2411,X
2421,X
2411,X
2421,
4212,
2421,
5983,
5141,
3651,
1611,
2759,
2833,
5531,
5812,
5087,
3444,
2411,
4212,
2436,
2434,
3353,
3324,
1761,
1622,
1731,
2899,X
3331,X
2411,X
1622,X
9611,X
8331,X
1791,
3463,
3463,
1731,
3721,
1751,
4953,
2084,X
3053,
2411,X
2411,
1541,
1796,
1799,
1721,
3764,
2821,
7011,X
1761,
4213,X
1761,X
5149,
2411,X
1731,
1761,
161,
3443,
4490,X
1731,
9223,
5984,
5541,
5812,
7011,
5511,
5211,
7389,
9223,
1711,
7922,
1761,
3471,
1799,
1429,
5113,
8059,
3462,
7353,
2631,
2711,
5145,
3442,
7948,
3599,
1742,X
1799,
3524,
1731,
2844,
5411,
1791,
5199,
3341,
2521,
9199,
3011,
1629,
2675,
851,X
4491,
2499,
1541,X
4911,X
191,X
3711,X
3273,X
2411,X
2411,X
4911,X
8711,X
2514,X
4953,X
2411,X
1623,X
4911,X
1799,X
1623,X
2621,X
4225,X
3731,X
1629,X
1389,X
1731,X
2911,X
5084,X
4491,X
4491,X
1321,X
2842,X
5093,X
2911,X
3731,X
1791,X
1791,X
1381,X
2911,
2411,X
4213,X
3731,X
4491,X
4491,X
4491,X
1623,X
2411,X
5093,X
1541,X
3272,X
4213,X
1389,X
1389,X
1796,X
1799,X
4491,X
3523,X
5411,X
2992,X
3441,X
4813,X
3731,X
1771,X
1542,X
7353,X
1522,X
4225,X
9512,X
9711,X
3731,X
1731,X
1542,X
1711,X
1793,X
4939,X
7389,X
1731,X
7353,X
1629,X
4491,X
3731,X
9711,X
1522,X
2091,X
2899,X
9199,X
4491,
1791,
5531,
4212,
1623,X
2911,X
3731,X
1522,X
1751,X
3444,X
1629,
7359,X
1731,X
1761,
1541,X
2499,
7699,X
3231,X
3567,X
2084,X
1629,X
9711,X
4953,
1542,X
1771,X
1761,
1731,X
2611,X
1522,X
3273,X
2411,X
5113,
2631,X
1611,X
1542,X
1629,X
1731,X
1771,X
2951,X
1794,X
1542,X
4491,X
1611,X
9199,X
4491,X
3731,X
3331,X
9512,X
1542,X
7623,X
1761,X
5511,X
6531,X
161,X
5093,
1741,X
1481,X
5984,X
1629,X
1794,X
2062,
1771,X
7699,X
2834,X
4911,X
7999,X
1721,X
4212,X
3446,X
212,X
1741,X
7996,X
1629,X
161,X
1389,X
6331,X
1381,X
3297,X
4953,X
1521,X
7810,X
1521,X
4212,X
1623,X
921,X
1795,X
4212,X
5169,
1761,
5411,X
1791,X
6029,X
7534,X
1721,X
5932,X
1731,X
1761,X
4212,X
9512,X
1389,X
1731,X
2047,X
8713,X
4212,X
1751,
2421,X
4911,
1521,X
5014,X
1794,X
783,X
1799,X
1623,X
3471,
1521,X
5521,X
8062,X
1611,X
1542,
4212,X
241,X
7389,X
5033,X
1623,X
1311,
1311,X
1542,X
1741,X
2082,X
7363,X
8062,X
1731,
4953,X
7641,X
7699,X
3264,X
1541,X
2653,
1731,X
2436,
3532,X
1623,
1751,X
1521,X
1791,X
1761,X
1751,X
2421,X
7011,X
1389,
7353,X
5211,
7011,X
1794,X
1629,X
7312,X
1542,X
1751,X
7216,X
1761,X
811,X
1794,X
7542,X
4911,X
782,X
3492,X
1751,X
1781,X
1791,X
4491,X
9641,X
4491,X
1622,X
2411,X
1742,X
4911,X
1389,X
1389,X
1541,X
1793,X
724,X
1381,X
7382,X
1629,X
1389,X
1381,X
1541,X
1311,X
1389,X
7694,
3691,
1381,X
783,X
1731,X
1389,X
1791,X
1381,X
1389,X
1389,X
1381,X
3312,X
1711,X
2026,X
7353,X
2325,X
1542,X
3523,
1381,X
1381,X
1389,X
5093,X
1389,
1389,X
783,X
2011,X
1794,X
1389,X
3272,X
1623,X
5084,X
1321,X
5141,X
4789,X
1761,X
7349,X
4213,X
9311,
1751,X
1731,X
7312,X
3331,X
723,X
5511,X
2038,
3443,
2436,
1389,X
1321,X
7549,X
7349,X
1389,X
1381,X
1389,X
3561,X
211,X
1389,X
1731,X
1389,X
4953,X
1611,X
1761,X
1711,X
1389,X
5093,X
1389,X
1389,X
1311,X
1611,X
1389,X
4212,X
1381,X
1389,X
1311,X
3443,X
5083,X
7312,X
1381,X
1389,X
1622,X
1623,X
2992,
1791,X
2044,X
2099,
1389,X
4213,X
4225,X
1311,X
7538,X
4731,X
7389,X
5093,X
8713,X
1771,X
1731,X
1731,X
1795,X
3272,X
1611,X
7699,X
2099,
5153,
1611,X
3479,X
1629,X
1381,X
1389,X
1381,X
1381,X
1622,X
5983,X
1629,X
5153,
1381,X
1389,X
1389,X
1799,X
1389,X
2869,X
5211,X
1623,X
2449,X
2621,X
3442,
1623,X
1623,X
2421,X
2411,X
783,X
4225,X
1711,X
1541,X
2861,X
851,X
1629,X
3679,X
1542,X
2411,X
3292,X
1795,X
2075,X
783,X
2411,
3713,X
1771,X
1623,X
1799,X
1623,X
1794,X
1389,X
1791,X
723,X
3312,X
2531,X
1542,X
2411,X
2421,X
4911,X
1761,X
2077,X
3312,X
1742,X
2013,X
2411,X
2048,X
2869,X
1623,X
7359,X
2911,X
2411,X
1389,X
2411,X
1381,X
1623,X
1791,X
2411,X
3993,X
3423,X
2361,X
4911,X
1542,X
1761,X
2015,X
251,X
3271,X
1794,X
2421,X
2411,X
5411,X
1429,X
783,X
1611,X
2879,
3341,
2015,
3271,X
6531,X
3441,X
1731,X
2048,X
3442,X
1389,X
1761,X
1311,X
2653,X
2841,X
1799,X
3398,X
1389,X
1791,X
1761,X
4953,X
1623,X
724,X
1796,X
3443,X
1623,X
782,X
7699,X
1731,X
8221,X
1622,X
2875,X
1381,X
1381,X
1795,X
1761,X
1791,X
1771,X
782,X
1761,X
3448,X
1622,X
1761,X
3084,X
1541,
3443,X
752,X
1542,
1611,
3471,X
1623,
1795,X
6512,
1622,X
1623,
1389,X
3661,X
2844,
3441,X
2082,X
9512,X
3089,
1794,X
1623,X
1381,X
2013,X
1389,X
3743,X
1622,X
2048,X
1794,X
2441,X
253,X
212,X
2451,X
7521,X
5147,X
1791,X
1611,X
4212,X
1799,X
1711,X
1389,X
2653,X
1629,X
1522,X
4213,X
4911,X
1711,X
1521,X
1381,X
1731,X
1389,X
1389,X
781,X
3721,X
1791,X
4953,X
1721,X
1799,
3585,X
1623,X
1711,
1389,X
1711,X
9641,X
1711,
4789,X
761,X
1799,X
1761,X
5191,X
1623,X
2676,X
1799,X
3354,
4491,X
1791,X
1611,X
5541,X
3713,X
2875,X
3089,X
2015,X
5191,X
1542,X
2411,X
4911,X
1731,X
2015,
1623,
1721,X
1611,X
5153,X
1629,X
1781,X
3087,X
3271,X
4213,X
1799,X
1623,X
1731,X
7699,X
2411,X
1541,X
2074,X
8049,X
5032,X
1731,X
7542,X
1721,X
4231,X
3363,X
2411,X
1752,X
3949,X
783,X
7532,X
5012,X
5211,X
1795,X
1542,X
1791,X
4213,X
4213,X
5211,X
1761,X
724,X
2411,X
2411,X
1796,X
5191,X
2819,X
2411,X
783,X
2411,X
1622,X
1611,X
1623,X
3714,X
3251,X
2411,X
1629,X
1542,X
1796,X
1796,X
2421,X
5441,X
1751,X
5962,X
1623,X
4911,X
4213,
7349,X
2752,X
2631,X
3534,
3089,
2834,X
1611,X
1542,X
1611,X
3714,
1771,X
1741,X
6515,X
1541,
2591,X
5989,X
1791,
4741,X
3312,X
1761,X
3567,X
1795,X
1541,X
3316,X
3271,X
3255,X
7011,X
1381,X
1311,X
2033,X
3313,X
783,X
5143,X
6513,X
1623,
1761,
3661,X
1522,
3444,X
1741,X
1623,X
3089,
5191,X
1793,X
3365,X
3221,X
1791,
5211,X
2033,
3366,X
1795,X
1791,
3531,X
3692,X
2411,X
1791,X
1791,X
2911,X
1311,X
3547,X
8062,
1721,X
1799,
1541,X
1622,X
4214,X
2951,X
1611,X
3499,X
7299,X
7948,X
7389,X
4731,X
3312,X
1311,X
5051,X
1542,X
7359,X
7349,
2033,
1623,X
7349,X
1711,X
3089,X
3452,
3661,
1611,
3625,
3315,X
2621,X
1791,X
1623,X
1629,X
3273,X
2231,X
1611,X
5012,X
8221,X
2621,
1711,X
2411,X
2493,X
1381,X
1389,X
7319,X
2048,X
1799,X
3111,
7382,
1761,X
1731,X
1761,X
4911,X
7349,X
4911,X
1629,X
1721,X
1796,X
2011,X
5148,
4731,X
3469,
3663,
1623,X
5411,
7349,X
1761,X
3462,
1794,X
5812,
1731,
7312,X
1761,X
7218,X
1542,X
1799,X
4212,X
3341,X
4581,X
1751,X
7514,X
3672,X
5399,X
7381,X
2096,
3544,X
3451,X
7389,X
2657,X
3086,X
4512,X
1741,X
3363,
1741,X
7532,X
2653,X
4214,X
1521,X
3325,X
7623,X
1522,X
1541,
711,X
3069,X
2411,X
2448,X
3524,X
1622,X
5083,X
1623,
1381,X
4213,X
4911,X
5984,
1711,X
2426,X
7312,X
3647,X
783,X
2411,X
5136,X
1721,X
1541,
1731,X
5521,X
1794,X
5251,X
1721,X
3612,X
2819,X
2411,X
7699,X
5984,X
3714,
2411,X
3535,X
3524,X
1795,X
2899,X
783,X
2273,X
2015,X
4911,X
5084,X
783,X
2411,X
2421,X
2411,X
1751,X
1622,X
5984,X
783,X
2499,X
7692,X
2951,X
1541,
2421,X
2399,
2411,X
1611,X
2074,X
3494,
1541,X
1541,X
4212,X
1742,X
2411,X
273,X
1629,X
4491,X
2074,X
3089,X
1791,X
2411,X
1711,X
3312,X
4212,X
2819,X
1791,X
5153,X
2411,X
1611,X
2434,X
2822,
3731,X
4581,X
3631,X
4491,X
4492,X
4491,X
1799,X
4492,X
1799,X
9711,X
4491,X
2411,X
7349,X
4581,X
2421,X
3524,X
2819,X
1541,X
2491,X
4789,X
7353,X
2411,X
1711,X
1742,X
1.74,X
4789,X
1799,X
2611,X
3479,X
2211,X
2491,X
7699,
2411,X
1799,X
1629,X
1629,X
1796,
2411,X
3444,X
4491,X
1611,X
1622,X
3731,X
2819,X
7363,X
1731,X
2451,X
4911,
4491,X
1731,
1623,X
1629,X
5093,X
1542,X
2299,
3585,X
7349,X
1741,
7011,X
1623,X
3081,X
7353,X
1522,
7699,X
3086,X
7359,X
7389,X
2672,
2421,X
1721,X
1751,X
4215,X
3281,X
1623,X
3661,X
4013,X
7299,X
1799,X
783,X
1761,
3585,
2421,X
2411,X
1623,X
4953,X
2281,
2411,X
3312,X
1799,X
2542,
2732,
1541,X
2421,X
3599,X
4953,X
1622,X
2844,X
1622,X
1794,X
1791,X
5531,
2411,X
2841,
1771,X
5963,X
1721,X
1623,
3524,
4212,X
1623,X
2631,
2741,
4213,X
3441,
2621,X
3086,
1721,X
2448,X
1751,X
5812,
1791,
5411,X
2819,
1741,
1629,
2621,X
1611,X
3272,
7349,X
1711,X
4231,X
2732,
2819,X
1721,
1623,X
1623,X
4499,X
9711,X
9711,X
4785,X
1791,X
1611,X
2411,X
1711,
5211,X
5148,X
2875,X
2026,X
1761,X
783,X
1611,X
1711,X
3523,X
722,X
5812,X
1623,X
3731,X
1761,X
1611,X
7381,X
2411,X
1622,X
1623,X
3669,
8711,X
1629,
2037,X
1731,X
1629,X
1771,X
4212,X
4231,X
1711,X
1741,
4911,X
1623,X
1623,X
4212,
1731,X
3672,
5511,X
1731,
1751,X
1541,
1742,X
1791,X
1761,X
1629,X
1731,
1791,X
7534,X
1542,
2087,X
1741,
1623,X
1799,
1731,X
721,X
2874,X
7342,X
762,X
7312,X
1796,X
2449,X
1791,X
1541,X
252,X
4173,X
3731,X
1761,X
6552,X
3272,
1771,
1791,
2048,X
3993,X
1623,X
5812,X
1623,X
1541,X
3471,X
1794,X
1752,X
1541,X
2048,X
1389,X
1623,X
4212,X
1623,X
1629,X
3363,X
3272,X
1623,X
4911,X
4911,X
3321,X
783,X
1381,X
2047,X
3398,X
3643,X
2411,X
7389,X
1731,X
2451,X
2015,X
1761,X
1521,X
1795,X
2015,X
1622,X
3011,X
2048,X
3599,X
1611,X
4212,X
7374,X
1629,X
2911,X
7349,
2077,X
2621,X
1751,X
7999,X
1623,X
1611,X
2325,X
5031,X
1721,X
2621,X
1751,X
1611,X
2411,X
4491,X
2015,
2015,
4212,X
783,X
2411,X
783,X
2411,X
2411,X
1623,X
2411,X
1791,X
3731,X
1761,X
1721,X
4212,X
1611,X
1381,X
1622,X
1541,X
2411,X
2411,X
1742,X
4212,X
1711,X
5191,X
1542,X
2411,X
3731,X
5093,X
4911,X
724,X
2411,X
1711,X
1721,X
1611,X
3251,X
2411,X
2044,X
1799,X
3731,X
3731,X
2421,X
2611,X
724,X
3441,X
1381,X
5191,X
2531,X
2411,X
1541,X
1622,X
3052,X
2435,X
1761,X
1794,X
1542,X
273,X
1622,X
1791,X
3731,X
3731,X
5084,X
2411,X
3443,X
3325,X
8331,X
9111,X
3339,X
3731,X
5172,X
1542,X
273,X
4911,X
5191,X
2411,X
3714,X
1311,X
2411,X
2411,X
4213,X
3993,X
2411,X
3714,X
3559,X
2411,X
2411,X
3273,X
2411,X
1542,X
2421,X
2411,X
2411,X
1791,X
4212,X
3714,X
3732,X
1795,X
3341,X
3363,X
3052,X
2411,X
6512,X
2099,X
2411,X
2411,X
3321,X
1382,X
3325,X
1611,X
2411,X
5171,X
7349,X
3663,X
5093,X
5099,X
1622,X
1611,X
3743,X
7389,X
7992,X
3271,X
2899,X
4911,X
1791,X
783,X
2631,X
1741,
1796,X
1711,X
3273,X
1796,
1623,
5169,
4833,
1542,X
1793,
3494,
2411,X
2656,
1521,X
1731,X
1791,X
1791,
5093,X
1741,
1521,
1791,X
1623,
7699,X
1522,X
1741,X
1711,X
1623,X
5171,X
5051,X
1611,X
2522,
5039,X
1611,X
1629,X
2411,X
7699,X
1623,X
1711,X
3671,
1791,X
1721,X
1542,
3272,X
2261,
1622,X
2273,X
1721,
1622,X
2411,X
1623,X
2842,X
1623,X
2281,X
1711,X
2097,X
1623,
1629,X
1542,X
1721,X
1721,X
783,X
1623,
7349,
1711,X
1795,
1611,X
3312,X
1731,
3312,X
3645,X
1542,X
1791,X
4512,X
1623,
1741,X
1731,X
1731,X
7312,
1711,X
1541,X
1731,X
2211,X
3273,X
1623,X
1751,
1541,
1521,X
782,X
1791,X
1542,
1623,X
1796,X
6519,X
5812,X
1795,X
1799,
3273,X
1799,X
5093,X
1731,
1741,
783,X
5051,
7011,X
1721,
4911,X
3272,
4512,X
1611,
1771,
1611,X
1711,X
7532,X
1742,X
1623,X
1731,X
2448,X
1731,
1541,
1791,X
1796,X
1751,
1611,X
1623,
5148,X
3711,
1611,X
7011,X
1771,X
7992,X
2035,X
5411,
2411,X
2411,X
1629,
7623,
1791,
1794,X
3721,X
1761,X
1721,X
3743,X
5031,X
3272,X
1623,X
7997,
1761,
1796,X
2311,
2011,X
5093,X
1791,X
1622,X
2273,X
1623,X
2436,
1799,X
1799,
1711,
1542,
2013,
2015,
1731,X
8221,X
1541,X
4899,X
7312,
1771,X
1623,
1542,X
5093,X
1623,X
1799,X
1611,X
3743,X
2273,X
783,X
4911,X
1795,X
4911,X
1629,
1623,X
5093,X
1731,X
1623,X
1799,
